theta2 RA DEC
0.099 355.03 58.0248
0.205 354.831 57.6273
0.014 355.248 57.9183
0.361 355.598 57.31
0.369 354.797 57.3949
0.051 355.25 57.5742
0.046 355.05 57.7215
0.19 355.377 58.217
0.224 354.789 57.9089
0.023 355.303 57.9422
0.099 354.997 57.613
0.13 355.022 57.5205
0.089 355.238 57.5019
0.034 355.431 57.8335
0.159 354.888 57.6328
0.268 355.55 57.3783
0.02 355.167 57.9142
0.373 354.647 57.8965
0.344 354.86 57.3616
0.082 355.521 57.7064
0.262 355.633 57.461
0.369 355.108 58.3906
0.168 355.3 57.3932
0.227 355.5 58.2054
0.041 355.124 57.9587
0.081 355.267 57.5159
0.294 355.25 58.3422
0.178 354.942 58.088
0.036 355.351 57.6392
0.05 355.026 57.7969
0.18 354.895 57.5678
0.388 355.479 58.3791
0.232 355.678 58.0205
0.035 355.217 57.6158
0.369 354.698 57.5456
0.191 355.227 57.3635
0.22 355.719 57.7978
0.129 355.609 57.8031
0.187 354.908 57.5357
0.042 355.078 57.9111
0.248 355.576 58.1769
0.219 355.071 57.3676
0.386 354.629 57.7782
0.151 354.919 57.5958
0.28 355.737 57.5928
0.036 355.318 57.6228
0.102 355.331 58.109
0.348 355.001 58.3349
0.278 355.502 57.337
0.012 355.202 57.8985
0.101 354.941 57.8731
0.269 355.117 57.2988
0.061 355.439 57.6405
0.231 355.054 57.3614
0.023 355.301 57.6572
0.256 355.424 58.275
0.18 355.614 57.5816
0.25 355.745 57.8671
0.071 355.5 57.8923
0.346 355.834 57.7326
0.051 355.288 57.5774
0.004 355.276 57.8577
0.182 354.825 57.8365
0.361 355.205 58.3992
0.207 354.863 58.0393
0.125 355.482 58.0664
0.253 355.061 57.3337
0.326 355.602 58.2499
0.02 355.113 57.7663
0.179 355.268 57.3773
0.013 355.181 57.8909
0.038 355.44 57.8435
0.028 355.416 57.8189
0.025 355.112 57.7223
0.163 355.055 57.4466
0.283 355.782 57.8039
0.359 355.78 58.0798
0.309 354.928 58.2528
0.05 355.027 57.8094
0.111 355.412 57.5087
0.133 355.404 57.4696
0.079 355.524 57.7365
0.364 355.676 58.2268
0.202 355.149 58.2378
0.095 355.294 57.4949
0.194 355.69 57.7841
0.025 355.11 57.7257
0.121 355.592 57.7381
0.228 355.126 58.2611
0.046 355.448 57.8834
0.287 355.321 57.2689
0.377 355.617 57.3078
0.097 355.106 58.0759
0.041 355.126 57.6401
0.391 354.717 57.4727
0.092 355.061 57.5631
0.238 355.045 58.2426
0.217 355.133 58.2508
0.077 355.245 57.5226
0.399 355.007 57.2169
0.257 355.751 57.7238
0.377 355.053 58.3814
0.252 355.364 57.3112
0.359 354.955 57.2784
0.302 355.475 58.3014
0.029 355.091 57.7393
0.119 355.142 57.4722
0.198 355.26 58.2449
0.313 355.263 57.2407
0.342 355.023 58.3391
0.115 355.01 57.5605
0.006 355.327 57.8031
0.362 355.359 58.3916
0.302 355.738 57.5466
0.34 355.172 58.3778
0.102 355.509 57.6134
0.146 355.466 58.1151
0.317 354.842 57.4116
0.207 355.585 58.108
0.149 354.874 57.8872
0.13 355.534 57.5775
0.029 355.094 57.7308
0.131 355.471 57.5136
0.129 355.334 58.1491
0.256 354.849 57.4921
0.163 355.57 57.5537
0.091 355.067 57.5601
0.307 355.362 58.3426
0.387 355.668 58.2605
0.147 354.867 57.8211
0.392 354.697 57.5063
0.209 355.684 57.9423
0.08 355.525 57.7335
0.267 355.479 57.3368
0.193 354.826 57.9134
0.163 355.187 58.1988
0.08 355.431 57.5824
0.37 354.642 57.8229
0.124 355.11 57.477
0.12 354.96 57.611
0.056 355.464 57.6985
0.338 355.249 58.3814
0.387 354.656 57.6165
0.228 354.909 57.4661
0.377 355.507 58.3576
0.163 355.366 57.4133
0.086 355.497 57.6422
0.313 355.742 57.5332
0.174 355.191 58.2129
0.381 355.396 57.2003
0.329 354.693 57.6634
0.221 354.885 58.0961
0.06 355.021 57.8879
0.052 355.374 57.9913
0.002 355.292 57.7841
0.269 355.765 57.8581
0.355 355.455 57.2406
0.338 355.797 57.9983
0.234 354.996 57.3882
0.306 355.531 57.3233
0.083 355.534 57.7512
0.231 355.593 58.1365
0.181 354.842 57.9221
0.097 355.084 58.0632
0.052 355.39 57.9797
0.061 355.328 58.0343
0.387 355.439 58.3926
0.245 354.792 57.9874
0.238 354.814 58.0183
0.109 354.976 57.6164
0.018 355.349 57.7097
0.312 355.609 57.372
0.387 355.785 58.1182
