theta2 RA DEC
0.19 357.309 59.2318
0.276 356.73 58.7278
0.203 357.346 58.3597
0.336 356.85 58.3801
0.362 356.87 58.3336
0.273 356.884 59.1733
0.25 356.788 58.6093
0.301 357.243 59.3486
0.329 357.582 58.3323
0.27 356.863 58.4535
0.027 357.25 58.6357
0.037 357.071 58.7296
0.087 357.336 59.0822
0.15 356.873 58.8891
0.248 357.423 59.2671
0.044 357.081 58.6753
0.039 357.125 58.6469
0.053 357.241 58.57
0.252 357.744 58.8912
0.389 356.684 58.5385
0.062 357.394 58.5972
0.145 357.025 59.1075
0.363 356.655 58.8952
0.355 356.854 58.3547
0.11 357.563 58.6916
0.33 357.68 58.4195
0.086 357.181 59.0851
0.074 357.283 58.53
0.276 357.526 59.247
0.214 356.963 59.1625
0.389 357.287 58.1774
0.205 357.25 59.2528
0.021 357.144 58.8989
0.106 357.423 58.524
0.095 356.942 58.7957
0.009 357.171 58.7481
0.079 357.354 59.0613
0.013 357.351 58.8522
0.199 357.172 58.3609
0.371 356.697 58.5449
0.029 357.241 58.6299
0.179 357.673 58.7981
0.361 357.851 58.8052
0.141 356.953 58.5705
0.243 356.836 59.0673
0.101 357.458 59.0405
0.398 357.009 58.2171
0.204 356.799 58.7842
0.044 357.072 58.6898
0.239 357.7 58.6085
0.094 357.359 58.5136
0.19 357.36 59.2217
0.138 357.093 59.1369
0.057 357.364 58.5903
0.04 357.163 58.9799
0.331 356.69 58.9323
0.28 357.114 58.2887
0.266 357.644 58.467
0.277 357.035 58.3197
0.265 357.424 58.3154
0.074 357.344 59.0554
0.014 357.351 58.7391
0.335 357.824 58.8776
0.31 357.772 58.9928
0.368 357.853 58.7305
0.257 357.336 58.3004
0.243 357.452 59.2496
0.135 356.884 58.8315
0.107 357.226 59.1262
0.235 356.838 59.0549
0.236 357.569 59.1661
0.269 357.055 58.3192
0.151 357.489 59.1062
0.166 356.854 58.7029
0.117 357.264 58.4582
0.228 356.962 59.1805
0.193 357.678 58.8981
0.07 357.513 58.8299
0.096 356.98 58.6478
0.28 356.994 58.3368
0.31 357.807 58.8041
0.342 357.767 59.0731
0.236 356.968 59.1957
0.213 356.789 58.8194
0.034 357.339 58.6388
0.227 357.452 58.3684
0.137 357.611 58.7164
0.04 357.391 58.9415
0.167 357.158 59.1981
0.308 357.328 58.2506
0.31 357.806 58.7799
0.228 356.828 58.5758
0.232 357.724 58.7143
0.394 357.087 59.4062
0.256 357.716 58.9968
0.057 357.281 58.5633
0.33 357.593 58.3395
0.316 356.989 59.298
0.322 356.902 58.3519
0.086 357 58.6465
0.353 356.879 58.336
0.13 357.098 59.1271
0.17 357.146 59.199
0.15 357.243 58.4128
0.006 357.22 58.7285
0.321 357.81 58.7148
0.159 357.122 59.1776
0.167 357.343 58.4021
0.326 356.969 58.303
0.217 357.441 59.225
0.02 357.118 58.7496
0.113 357.145 58.4806
0.015 357.253 58.9224
0.34 357.264 58.2171
0.1 357.128 59.0915
0.134 356.991 58.5415
0.135 357.617 58.8148
0.045 357.289 59.0086
0.337 357.765 58.5323
0.198 357.19 59.2409
0.315 357.705 58.472
0.077 357.407 59.0289
0.023 357.14 58.6954
0.187 357.568 59.0928
0.281 356.734 58.9198
0.35 357.716 58.4349
0.187 356.855 58.6242
0.196 357.521 58.4496
0.149 357.341 59.1752
0.28 356.83 58.478
0.258 357.652 58.4902
0.202 356.977 58.4426
0.39 357.377 59.4116
0.22 357.565 59.1472
0.094 356.944 58.8169
0.234 356.823 58.5731
0.119 357.578 58.9074
0.257 357.743 58.6808
0.168 357.432 58.4326
0.213 356.804 58.9192
0.335 357.16 59.3717
0.323 357.613 58.3629
0.22 356.781 58.8176
0.36 357.011 58.2497
0.369 356.741 58.4685
0.247 357.699 58.5869
0.363 357.249 59.4025
0.145 356.886 58.6877
0.192 356.937 58.4936
0.168 357.422 59.1722
0.157 357.364 58.4205
0.303 357.714 58.5038
0.055 357.456 58.6882
0.014 357.233 58.9171
0.068 357.312 58.5467
0.292 356.725 58.6714
0.203 356.9 59.0838
0.251 356.782 58.9798
0.118 357.437 59.0882
0.311 357.771 58.6017
0.017 357.38 58.8146
0.353 357.455 58.2422
0.249 357.719 58.9702
0.238 356.994 58.3847
0.129 357.432 58.4905
0.155 357.638 58.7333
0.293 357.636 59.179
0.03 357.084 58.8497
0.141 357.049 59.1174
0.171 357.505 59.1259
0.088 357.344 59.0814
0.34 357.427 59.3554
0.062 357.02 58.8942
0.078 357 58.925
0.304 356.792 58.4935
0.237 357.61 58.4722
0.068 357.418 58.6002
0.054 357.45 58.9189
0.067 357.371 59.0291
0.028 357.396 58.8825
0.108 356.921 58.8013
0.325 356.688 58.8934
0.304 357.642 58.4119
0.226 357.725 58.8083
0.214 356.885 58.5152
0.046 357.243 59.0144
0.118 356.93 58.9237
0.27 357.769 58.823
0.09 357.089 59.0534
0.143 356.886 58.9023
0.143 357.618 58.8877
0.17 357.239 59.2122
0.102 357.251 58.4806
0.207 357.705 58.8075
0.248 357 58.3692
0.068 357.438 58.6193
0.083 357.482 58.6293
0.058 357.328 58.5722
0.366 357.138 58.2056
0.096 357.08 59.0589
0.169 357.235 58.3892
0.269 357.101 58.3031
